Dataset,Vocabulary,Exempt_Mode,Model_ID,SARI_Avg,SARI_Median,SARI_Min,SARI_Max,SARI_P90,BLEU_Avg,BLEU_Median,BLEU_Min,BLEU_Max,BLEU_P90,METEOR_Avg,METEOR_Median,METEOR_Min,METEOR_Max,METEOR_P90,BERTScore_Avg,BERTScore_Median,BERTScore_Min,BERTScore_Max,BERTScore_P90,Jaccard_Similarity_Avg,Jaccard_Similarity_Median,Jaccard_Similarity_Min,Jaccard_Similarity_Max,Jaccard_Similarity_P90,Cosine_Similarity_Avg,Cosine_Similarity_Median,Cosine_Similarity_Min,Cosine_Similarity_Max,Cosine_Similarity_P90,Compression_Ratio_Avg,Compression_Ratio_Median,Compression_Ratio_Min,Compression_Ratio_Max,Compression_Ratio_P90
sick,vocab_1900.txt,none,T5,25.6607,28.2859,3.5836,41.5215,32.0175,0.0235,0.0,0.0,5.9237,0.0,0.22,0.0,0.0,32.218,0.0,57.6895,56.2484,49.6119,84.171,63.6853,0.3008,0.0,0.0,36.3636,0.0,60.6121,59.618,52.1692,89.0075,65.8365,0.3108,0.1,0.0435,4.4286,0.5556
turk_corpus,vocab_1900.txt,none,BYT5,22.5011,23.1606,8.5612,34.5616,29.2937,0.6821,0.0,0.0,8.5005,2.4456,2.0269,0.0,0.0,34.4849,5.3126,64.9776,64.875,51.9355,77.6094,70.1669,1.6622,0.0,0.0,25.0,6.25,64.3311,63.9373,50.1008,82.9001,71.1831,1.0481,0.875,0.0192,5.5,1.7709
asset,vocab_1900.txt,none,BYT5,24.0368,24.1471,14.0859,30.9609,27.59,0.8226,0.0,0.0,9.1638,2.7197,2.2384,0.0,0.0,30.5473,6.0241,65.3986,65.3038,53.7781,77.6534,70.1417,0.9685,0.0,0.0,14.2857,4.5455,63.6482,63.18,49.1321,82.1217,70.2331,0.9848,0.8421,0.0294,4.3333,1.6173
sick,vocab_1900.txt,none,BYT5,26.0505,28.4145,4.8657,39.359,32.2917,0.3873,0.0,0.0,4.2377,2.0244,1.2715,0.0,0.0,29.0404,4.9505,65.3532,65.2681,56.3681,81.9186,70.6838,2.5857,0.0,0.0,30.0,10.0526,66.1819,66.0408,55.285,87.9379,72.8617,1.7229,1.6077,0.5,4.8333,2.5
turk_corpus,vocab_1900.txt,none,EMB_SUB,24.1826,24.6627,9.4956,42.9951,30.6332,3.7749,3.0891,0.0,17.7784,7.5036,12.8039,10.745,0.0,47.5411,25.3025,71.3733,71.5579,55.9081,84.1629,76.3357,10.0766,9.0909,0.0,36.3636,19.2308,70.7245,70.8842,53.2915,87.9867,75.7006,0.9957,1.0,0.9038,1.0,1.0
asset,vocab_1900.txt,none,EMB_SUB,25.7321,25.9455,14.0859,39.7736,29.7604,4.1615,3.3865,0.0,23.4624,7.6226,14.0856,11.726,0.0,53.7876,28.0881,71.6578,71.5631,60.6343,85.2156,76.4856,6.8547,5.8824,0.0,26.087,15.1981,69.536,69.7041,50.7336,83.5457,74.6761,0.9804,1.0,0.3333,2.6,1.1667
sick,vocab_1900.txt,none,EMB_SUB,28.1323,29.6698,7.7976,41.2945,34.6608,3.9004,3.7478,0.0,28.0395,6.8983,11.0855,10.4167,0.0,56.9863,22.5629,72.7145,72.5866,64.0202,83.5184,77.7677,21.4512,20.0,0.0,50.0,33.3333,75.0647,74.4261,66.3389,87.0043,79.9828,1.0,1.0,1.0,1.0,1.0
turk_corpus,vocab_2000.txt,english_stopwords,MLM,32.2168,31.7336,13.1531,53.6547,41.2028,18.6391,14.9808,1.2537,79.5271,38.2683,46.568,46.8693,11.811,85.3462,67.2219,82.7114,82.9615,67.1103,95.3697,89.0923,37.0784,37.2093,10.0,82.3529,52.6316,85.6195,86.3058,70.684,97.9386,91.4457,0.9437,0.9474,0.6897,1.0,1.0
asset,vocab_2000.txt,english_stopwords,MLM,34.2438,33.4871,20.6313,55.1822,42.6836,19.8658,16.5446,3.3165,82.8966,39.3973,48.1622,48.4466,14.5349,89.6518,65.0862,82.9292,83.0603,67.6386,96.9495,88.7452,27.8692,26.4706,3.8462,65.0,42.8571,82.9269,83.122,61.6007,96.4051,89.7789,0.9312,0.9444,0.3,2.6,1.1439
sick,vocab_2000.txt,english_stopwords,MLM,29.7445,28.9141,2.0833,73.3929,41.4289,15.2487,10.191,0.0,88.0112,38.0186,38.7838,35.4938,0.0,98.8013,73.3431,83.7827,83.3118,65.7794,98.838,92.056,59.981,60.0,18.1818,100.0,80.0,92.2066,92.787,76.2766,100.0,97.0966,0.9693,1.0,0.8333,1.0,1.0
